sequencial_candidato,uf,partido,quantidade_doacoes,quantidade_doadores,total_receita,media_receita,recursos_de_outros_candidatos.comites,recursos_de_pessoas_fisicas,recursos_de_pessoas_juridicas,recursos_proprios,recursos_de_partido_politico,quantidade_despesas,quantidade_fornecedores,total_despesa,media_despesa,situacao
10006,TO,PSOL,1,1,600,600,0,600,0,0,0,6,6,562.5,93.75,nao_eleito
10006,SE,PDT,5,4,2015.05,403.01,0,0,0,2015.05,0,10,10,2015.05,201.5,nao_eleito
10006,RS,PT,16,15,5603.22,350.2,0,633.22,0,4970,0,54,41,3490.86,64.65,nao_eleito
10007,PR,PPS,2,2,3245.39,1622.69,0,0,3000,245.39,0,15,15,3245.39,216.36,nao_eleito
10007,SP,PRONA,4,4,2867.84,716.96,0,2306.61,0,561.23,0,8,7,2806.84,350.86,nao_eleito
10007,RO,PT,17,17,24683.33,1451.96,1125,15058.33,0,8500,0,56,47,19245.65,343.67,nao_eleito
10007,MS,PRONA,1,1,1000,1000,0,1000,0,0,0,7,6,875,125,nao_eleito
10007,RS,PT,269,249,606332.67,2254.02,1154,329116.26,206800.24,69262.17,0,392,298,506442.84,1291.95,eleito
10008,MS,PRONA,2,2,1505,752.5,0,1505,0,0,0,2,2,1505,752.5,nao_eleito
10008,SP,PRONA,6,6,2106,351,0,0,0,2106,0,10,10,1827.49,182.75,nao_eleito
10008,PR,PPS,13,13,74554.74,5734.98,0,8413,57127,9014.74,0,66,59,69429.63,1051.96,nao_eleito
10008,RS,PT,6,5,2580,430,0,2500,0,80,0,19,18,2208.15,116.22,nao_eleito
10008,RO,PT,16,16,16667.64,1041.73,1125,9892.64,0,5650,0,27,25,15612.65,578.25,nao_eleito
10009,RJ,PL,3,3,723.43,241.14,723.43,0,0,0,0,3,3,723.43,241.14,nao_eleito
10009,SP,PRONA,11,9,31025,2820.45,0,0,0,31025,0,36,29,30957.49,859.93,nao_eleito
10009,RS,PT,103,98,282276.48,2740.55,0,92620.27,98766.21,90890,0,264,189,208423.52,789.48,nao_eleito
10009,PR,PPS,9,9,11550,1283.33,0,9550,2000,0,0,48,41,10480.07,218.33,nao_eleito
10010,MG,PPS,5,5,3273.91,654.78,3002,271.91,0,0,0,13,12,3273.43,251.8,nao_eleito
10010,SP,PRONA,2,2,6047.07,3023.53,0,0,0,6047.07,0,2,2,6004.8,3002.4,eleito
10010,RO,PT,73,64,238546.91,3267.77,1125,68380.96,35740.95,133300,0,352,283,202673.51,575.78,nao_eleito
10010,RS,PT,179,146,433624.62,2422.48,50,95763,301318,36493.62,0,495,400,354609.66,716.38,eleito
10010,MA,PSDC,1,1,1080,1080,0,0,0,1080,0,1,1,1080,1080,nao_eleito
10010,ES,PSOL,2,2,120,60,0,0,0,120,0,3,3,339.7,113.23,nao_eleito
10010,RJ,PL,3,3,1559.63,519.88,0,0,0,0,1559.63,3,3,1559.63,519.88,nao_eleito
10011,ES,PSOL,139,134,47228.27,339.77,640,26562,400,19626.27,0,54,50,41267.27,764.21,nao_eleito
10011,SP,PRONA,1,1,8400,8400,0,0,0,8400,0,4,4,8332.7,2083.18,nao_eleito
10011,MG,PPS,27,22,67277,2491.74,2307,30970,34000,0,0,141,127,65070.09,461.49,nao_eleito
10011,RS,PT,92,83,189897.5,2064.1,2167.5,117730,40000,30000,0,153,144,168159.62,1099.08,eleito
10011,RO,PT,40,33,78221.04,1955.53,0,20185,36510.42,21525.62,0,109,90,66534.07,610.4,nao_eleito
10011,PR,PPS,8,8,37318.55,4664.82,0,0,0,37318.55,0,17,16,30701.18,1805.95,nao_eleito
10012,PR,PPS,48,45,556859.8,11601.25,0,31406.43,505151.89,20301.48,0,275,227,427947.05,1556.17,eleito
10012,ES,PSOL,11,11,3781,343.73,0,1328,380,2073,0,18,18,3779.74,209.99,nao_eleito
10012,RS,PT,15,14,8752,583.47,1637,2100,3000,2015,0,58,45,5703.22,98.33,nao_eleito
10012,RJ,PL,5,5,18613.43,3722.69,613.43,0,0,18000,0,19,18,18101.99,952.74,nao_eleito
10012,SP,PRONA,1,1,250.95,250.95,0,0,0,250.95,0,1,1,250,250,nao_eleito
10012,MG,PPS,34,29,324004.63,9529.55,3378.5,10900,1902.4,307823.73,0,364,291,295224.92,811.06,nao_eleito
10012,RO,PT,4,4,11202.26,2800.57,1125,39.26,0,10038,0,6,6,11202.26,1867.04,nao_eleito
10013,RJ,PL,12,10,156929.39,13077.45,0,135000,10929.39,11000,0,114,85,131738.4,1155.6,nao_eleito
10013,MG,PPS,2,2,3002,1501,3002,0,0,0,0,2,2,3002,1501,nao_eleito
10013,RS,PT,18,18,32214.8,1789.71,1976.6,14237.3,15200,800.9,0,93,64,27100.92,291.41,nao_eleito
10013,ES,PSOL,19,17,26100,1373.68,0,23100,0,3000,0,21,20,24897.09,1185.58,nao_eleito
10014,RJ,PL,28,25,129578.53,4627.8,446.43,42353.2,81772,5006.9,0,126,96,110661.93,878.27,eleito
10014,RS,PT,3,3,3335,1111.67,0,335,3000,0,0,67,54,3193.67,47.67,nao_eleito
10014,MG,PPS,18,11,560162.92,31120.16,4062.92,0,11100,545000,0,781,679,465613.82,596.18,nao_eleito
10014,ES,PSOL,4,4,983,245.75,250,250,0,483,0,4,4,979,244.75,nao_eleito
10014,GO,PFL,10,10,14503.04,1450.3,9323.04,2250,0,2930,0,11,11,14503.04,1318.46,nao_eleito
10015,GO,PFL,10,10,10788.04,1078.8,9323.04,0,400,1065,0,16,16,10788.04,674.25,nao_eleito
10015,RS,PT,8,8,32850,4106.25,0,10850,22000,0,0,27,26,32113.65,1189.39,nao_eleito
10015,PR,PPS,2,2,420,210,0,0,420,0,0,2,2,420,210,nao_eleito
10015,MG,PPS,1,1,695,695,695,0,0,0,0,1,1,695,695,nao_eleito
10015,RJ,PL,4,4,10150,2537.5,0,0,0,10150,0,10,10,10077.2,1007.72,nao_eleito
10016,PR,PPS,19,17,38000,2000,0,9000,20000,9000,0,136,118,37827.7,278.14,nao_eleito
10016,MG,PPS,62,62,1124345.13,18134.6,2907,55530,1012848.44,53059.69,0,891,757,758465.08,851.25,eleito
10016,MS,PDT,6,6,59116,9852.67,12100,0,17016,30000,0,29,29,59115.87,2038.48,nao_eleito
10016,RJ,PL,3,3,723.43,241.14,723.43,0,0,0,0,3,3,723.43,241.14,nao_eleito
10016,RS,PT,34,27,39336.6,1156.96,3536.6,12110,15140,8550,0,104,68,26533.4,255.13,nao_eleito
10016,GO,PFL,34,30,1249236,36742.24,49810,44426,1150000,5000,0,491,469,1016890.32,2071.06,nao_eleito
10017,MS,PDT,12,10,44200,3683.33,0,6000,25000,1100,12100,30,27,38200,1273.33,nao_eleito
10017,MG,PPS,26,23,277104.99,10657.88,2907,13240,4428,256529.99,0,218,196,270091.42,1238.95,eleito
10017,PR,PPS,18,17,151024.49,8390.25,0,13050,78674.49,59300,0,82,69,134177.36,1636.31,nao_eleito
10017,RJ,PL,3,3,723.43,241.14,723.43,0,0,0,0,3,3,723.43,241.14,nao_eleito
10017,GO,PFL,81,80,1161954.47,14345.12,247325.44,347504,538820,28305.03,0,816,787,1062452.42,1302.03,eleito
10018,MS,PDT,5,5,9560,1912,8300,0,0,1260,0,22,21,9555.39,434.34,nao_eleito
10018,AP,PL,8,7,100015.39,12501.92,0,25000,50000,25015.39,0,45,40,94984.69,2110.77,nao_eleito
10018,MG,PPS,6,6,7807,1301.17,4807,0,0,3000,0,44,16,5997.02,136.3,nao_eleito
10019,AP,PL,2,2,880,440,0,0,880,0,0,2,2,880,440,nao_eleito
10019,MG,PPS,3,3,2657.76,885.92,2157.76,500,0,0,0,11,9,2640.04,240,nao_eleito
10019,MS,PDT,7,7,14600,2085.71,8300,4800,1500,0,0,16,15,14480.57,905.04,nao_eleito
10019,RS,PT,85,81,162420,1910.82,0,56720,38700,67000,0,296,263,135150.34,456.59,nao_eleito
10019,PR,PPS,42,38,38640,920,0,8190,26350,4100,0,80,68,36137,451.71,nao_eleito
10020,MG,PPS,19,18,46720.71,2458.98,9802,36068.71,850,0,0,140,122,44733.4,319.52,nao_eleito
10020,AP,PL,5,5,71810.94,14362.19,0,6000,30000,30760.94,5050,36,34,66280.93,1841.14,nao_eleito
10020,PR,PPS,27,24,2620943,97071.96,0,1381000,669943,570000,0,5545,3078,2213874.07,399.26,eleito
10020,RS,PT,44,42,139280.95,3165.48,0,82165.63,49115.32,8000,0,42,42,121280.95,2887.64,nao_eleito
10020,RJ,PL,3,3,890.43,296.81,780.43,0,0,0,110,3,3,890.43,296.81,nao_eleito
10020,MS,PDT,32,32,28450,889.06,11100,12350,0,5000,0,85,77,29798.37,350.57,nao_eleito
10021,RS,PT,17,16,93759.27,5515.25,0,36759.27,0,57000,0,53,43,70439.19,1329.04,eleito
10021,PR,PPS,22,22,6802,309.18,0,4180,500,2122,0,19,18,6751.09,355.32,nao_eleito
10021,MT,PDT,4,4,2176.29,544.07,2176.29,0,0,0,0,4,4,2176.29,544.07,nao_eleito
10021,RJ,PL,5,5,9760.71,1952.14,0,9760.71,0,0,0,5,5,9760.71,1952.14,nao_eleito
10021,AL,PAN,2,2,1311.2,655.6,1311.2,0,0,0,0,2,2,1311.2,655.6,nao_eleito
10021,MA,PSOL,3,2,350,116.67,0,0,0,350,0,10,9,219.58,21.96,nao_eleito
10021,MS,PDT,27,27,48088.42,1781.05,11100,30420,1350,5218.42,0,28,25,46763.16,1670.11,nao_eleito
10021,AC,PP,18,17,123200,6844.44,15000,12500,9000,86700,0,146,129,108453.69,742.83,nao_eleito
10021,MG,PPS,116,108,1475037.96,12715.84,5134.42,117532.48,1061525.43,290845.63,0,2237,2135,1238165.79,553.49,nao_eleito
10022,MS,PDT,71,68,964035.67,13577.97,16100,70000,507935.67,370000,0,792,781,982535.47,1240.58,eleito
10022,MT,PDT,4,4,2176.29,544.07,2176.29,0,0,0,0,4,4,2176.29,544.07,nao_eleito
10022,RS,PT,25,25,111899.42,4475.98,862,13960,95877.42,1200,0,546,485,95047.31,174.08,nao_eleito
10022,AC,PP,13,12,62050,4773.08,5000,21200,13000,22850,0,27,27,61951.79,2294.51,nao_eleito
10022,RJ,PL,70,68,153492.77,2192.75,90176.63,51216.14,500,11600,0,112,76,132556.6,1183.54,nao_eleito
10022,MG,PPS,5,5,5182,1036.4,5182,0,0,0,0,5,5,5182,1036.4,nao_eleito
10022,PR,PPS,8,4,39000,4875,0,0,20000,19000,0,63,60,38450,610.32,nao_eleito
10023,AC,PP,28,27,309490,11053.21,6500,65400,237290,300,0,227,184,220429.69,971.06,nao_eleito
10023,RS,PT,8,7,24950,3118.75,2850,0,0,21300,800,57,53,24044.26,421.83,nao_eleito
10023,MT,PDT,4,4,2176.29,544.07,2176.29,0,0,0,0,4,4,2176.29,544.07,nao_eleito
10023,RJ,PL,26,24,66313.19,2550.51,7700,30790,0,27823.19,0,35,29,55684.64,1590.99,nao_eleito
10024,RJ,PL,4,4,3723.43,930.86,723.43,3000,0,0,0,4,4,3723.43,930.86,nao_eleito
10024,AP,PC do B,35,30,40759,1164.54,0,24140,16400,0,219,27,27,39948.57,1479.58,eleito
10024,AL,PRTB,2,2,4816,2408,0,0,4816,0,0,2,2,4816,2408,nao_eleito
10024,MG,PPS,34,31,645587.49,18987.87,0,22500,584153.71,0,38933.78,693,653,592292.18,854.68,eleito
10024,AC,PP,22,21,383050,17411.36,0,15500,367500,50,0,471,383,348029.33,738.92,eleito
10024,MS,PDT,3,3,16800,5600,9300,0,7500,0,0,7,7,16782.82,2397.55,nao_eleito
10024,RS,PT,99,94,203197.83,2052.5,1500,94097.83,17000,90600,0,190,136,169580.34,892.53,eleito
10025,MG,PPS,34,33,136457,4013.44,12807,540,117140,5970,0,236,196,128209.35,543.26,nao_eleito
10025,RJ,PL,2,2,613.43,306.71,613.43,0,0,0,0,2,2,613.43,306.71,nao_eleito
10025,AL,PRTB,3,3,5016,1672,0,0,4816,200,0,5,5,5016,1003.2,nao_eleito
10025,RS,PT,8,8,5325,665.62,0,2325,3000,0,0,16,15,2302.6,143.91,nao_eleito
10025,PR,PPS,2,2,500,250,0,500,0,0,0,2,2,498.1,249.05,nao_eleito
10025,AC,PP,4,4,9950,2487.5,0,0,0,9500,450,9,9,9949.96,1105.55,nao_eleito
10026,RJ,PL,3,3,477,159,0,0,477,0,0,3,3,477,159,nao_eleito
10026,RS,PT,28,28,33106.89,1182.39,100,19981.69,12600.2,425,0,62,62,28106.89,453.34,nao_eleito
10026,AC,PP,17,13,17043,1002.53,10020,5275,150,1598,0,40,31,16548.93,413.72,nao_eleito
10027,PR,PPS,7,7,27164.45,3880.64,812,1202.45,22774.2,2375.8,0,52,49,27119,521.52,nao_eleito
10027,MG,PPS,8,8,11587.01,1448.38,9207,500.01,0,1880,0,18,16,11246.34,624.8,nao_eleito
10027,RS,PT,16,16,13074.3,817.14,0,6400,3007.3,3667,0,43,40,7858.33,182.75,nao_eleito
10028,RS,PT,28,27,36980,1320.71,0,21410,3000,12570,0,34,32,26527,780.21,nao_eleito
10028,MG,PPS,2,2,32307,16153.5,2307,0,30000,0,0,12,11,30155.74,2512.98,nao_eleito
10028,PR,PPS,11,11,37968.65,3451.7,0,8438.65,29220,310,0,38,37,34468.64,907.07,nao_eleito
10029,SE,PSDC,1,1,150,150,0,150,0,0,0,1,1,150,150,nao_eleito
10029,RJ,PL,3,3,723.43,241.14,723.43,0,0,0,0,3,3,723.43,241.14,nao_eleito
10029,RS,PT,32,32,35523.9,1110.12,2970,14259.9,11000,7294,0,38,38,35432.48,932.43,nao_eleito
10029,MG,PPS,5,4,14002,2800.4,4002,0,10000,0,0,17,17,14002,823.65,nao_eleito
10029,AL,PRB,17,17,12500.1,735.3,1400,10796,0,304.1,0,34,24,10168.1,299.06,nao_eleito
10029,PR,PPS,4,4,12800,3200,0,0,12500,300,0,12,12,12762.5,1063.54,nao_eleito
10030,RJ,PL,7,7,13593.43,1941.92,1023.43,12570,0,0,0,7,7,13593.43,1941.92,nao_eleito
10030,PR,PPS,2,2,15000,7500,0,15000,0,0,0,173,135,14651.73,84.69,nao_eleito
10030,AC,PT,45,43,130478.9,2899.53,48607.96,15260,26000,38110.94,2500,124,94,107621.16,867.91,nao_eleito
10030,MG,PPS,5,5,7649,1529.8,2807,0,0,4842,0,11,11,7649,695.36,nao_eleito
10031,RJ,PL,4,4,427.18,106.8,350,0,0,77.18,0,4,4,427.18,106.8,nao_eleito
10031,MG,PPS,13,13,99802,7677.08,17687,0,70000,3915,8200,94,91,99274.94,1056.12,nao_eleito
10031,PR,PPS,31,30,37426.18,1207.3,0,28000,2949,6477.18,0,75,74,43524.62,580.33,nao_eleito
10031,AC,PT,62,57,175141.39,2824.86,73419.07,33300,56012.32,9910,2500,217,144,153046.59,705.28,eleito
10032,MG,PPS,3,3,4002,1334,4002,0,0,0,0,3,3,4002,1334,nao_eleito
10032,AC,PT,50,43,233248.99,4664.98,60975.96,23250,76710,69813.03,2500,189,163,211877.76,1121.05,eleito
10032,PR,PPS,6,6,1098.17,183.03,0,0,0,1098.17,0,19,18,1094.22,57.59,nao_eleito
10032,RJ,PL,2,2,780.43,390.21,780.43,0,0,0,0,2,2,780.43,390.21,nao_eleito
10033,PR,PPS,12,11,92000,7666.67,0,9000,78000,5000,0,54,54,92000,1703.7,nao_eleito
10033,AC,PT,91,77,254157.96,2792.94,25000,99050,88507.96,39100,2500,149,132,160305.73,1075.88,eleito
10033,RJ,PL,2,2,613.43,306.71,613.43,0,0,0,0,2,2,613.43,306.71,nao_eleito
10033,AL,PT,22,21,58000,2636.36,0,27100,20000,10900,0,80,67,56150.01,701.88,nao_eleito
10033,RN,PSB,65,61,217786.5,3350.56,0,48400,94886.5,14500,60000,64,62,250614.76,3915.86,eleito
10034,AC,PL,22,20,325429.5,14792.25,0,0,195240,130189.5,0,250,192,269496.86,1077.99,nao_eleito
10034,AL,PT,16,16,21536.5,1346.03,0,16436.5,0,5100,0,36,27,19059.75,529.44,nao_eleito
10034,RN,PSB,15,15,88015.43,5867.7,0,0,0,88015.43,0,34,33,88000.26,2588.24,nao_eleito
10034,RJ,PL,4,4,909.09,227.27,446.43,462.66,0,0,0,4,4,909.09,227.27,nao_eleito
10034,MG,PPS,5,5,9902,1980.4,3902,0,6000,0,0,8,8,9902,1237.75,nao_eleito
10035,MG,PPS,3,3,4507,1502.33,2307,0,0,1200,1000,4,4,4497,1124.25,nao_eleito
10035,AC,PRTB,3,3,2210.31,736.77,0,0,1000,1210.31,0,3,3,2210.31,736.77,nao_eleito
10035,RJ,PL,13,12,72126.43,5548.19,10746.43,17400,43980,0,0,54,48,63321.44,1172.62,nao_eleito
10036,RJ,PL,3,3,668.43,222.81,668.43,0,0,0,0,3,3,668.43,222.81,nao_eleito
10036,RN,PSB,25,24,180789.86,7231.59,0,34550,45339.86,70900,30000,81,80,174987.5,2160.34,eleito
10037,RN,PSB,23,20,55248.38,2402.1,0,18950,4179,32119.38,0,43,40,52131.23,1212.35,nao_eleito
10037,AL,PT,6,6,27375.8,4562.63,0,5000,0,22375.8,0,32,27,27412.33,856.64,nao_eleito
10037,AM,PSTU,2,2,206,103,206,0,0,0,0,2,2,206,103,nao_eleito
10037,RJ,PL,9,9,69610,7734.44,0,200,0,19300,50110,21,21,69577.44,3313.21,nao_eleito
10038,RN,PTB,1,1,490,490,0,0,0,0,490,1,1,490,490,nao_eleito
10038,RJ,PL,3,3,890.43,296.81,890.43,0,0,0,0,3,3,890.43,296.81,nao_eleito
10038,MG,PPS,21,20,255333.26,12158.73,0,19758.5,191000,38300,6274.76,141,134,254131.82,1802.35,nao_eleito
10038,AM,PSTU,3,3,120.56,40.19,106,0,0,14.56,0,5,5,120.56,24.11,nao_eleito
10038,AC,PMN,17,14,61220,3601.18,1000,2800,45420,12000,0,28,21,54019.99,1929.29,eleito
10039,RJ,PL,6,6,3676.43,612.74,446.43,0,0,3230,0,10,9,3051.43,305.14,nao_eleito
10039,MG,PPS,3,3,2806,935.33,2806,0,0,0,0,3,3,2806,935.33,nao_eleito
10039,RN,PT,89,89,289226,3249.73,0,54226,215000,20000,0,143,135,292235.98,2043.61,eleito
10040,AC,PSB,4,4,16288,4072,15288,0,0,1000,0,22,22,16288,740.36,nao_eleito
10040,MG,PPS,80,79,1161967.46,14524.59,3378.5,69340,1089248.96,0,0,847,748,1124368.2,1327.47,eleito
10040,RN,PT,46,29,330747.02,7190.15,0,14100,248500,68147.02,0,301,235,239601.97,796.02,nao_eleito
10041,RJ,PL,5,5,2068.43,413.69,2068.43,0,0,0,0,5,5,2068.43,413.69,nao_eleito
10041,MG,PPS,7,7,7143.48,1020.5,3962.92,100,0,3080.56,0,24,24,7143.48,297.64,nao_eleito
10042,AC,PSB,3,3,8088,2696,8088,0,0,0,0,21,14,8026.95,382.24,nao_eleito
10042,MT,PSC,2,2,2000,1000,0,2000,0,0,0,2,1,1000,500,nao_eleito
10042,RN,PT,49,30,42175,860.71,0,4650,0,37525,0,120,106,35085.7,292.38,nao_eleito
10042,MS,PSOL,4,4,3584.55,896.14,3570,0,0,14.55,0,4,4,3584.55,896.14,nao_eleito
10043,RN,PL,102,101,501273.34,4914.44,353273.34,50000,98000,0,0,48,46,534238.99,11129.98,eleito
10043,MS,PSTU,2,2,2249.98,1124.99,2249.98,0,0,0,0,2,2,2249.98,1124.99,nao_eleito
10043,AC,PSB,5,3,339,67.8,288,0,0,51,0,5,3,147,29.4,nao_eleito
10044,ES,PT,23,20,11912.66,517.94,2662.66,5350,0,3900,0,37,33,9798.38,264.82,nao_eleito
10044,AC,PC do B,49,48,174398.05,3559.14,0,45830,128552.4,15.65,0,241,230,169589.55,703.69,eleito
10044,RJ,PL,7,7,7073.43,1010.49,7013.43,60,0,0,0,7,7,7073.43,1010.49,nao_eleito
10044,SE,PT,13,12,42300,3253.85,7000,20300,0,15000,0,27,25,40515.62,1500.58,nao_eleito
10045,RJ,PL,5,4,2313.43,462.69,2313.43,0,0,0,0,5,4,1763.43,352.69,nao_eleito
10045,ES,PT,26,25,119128.04,4581.85,9500,8528.5,95000,3931.38,2168.16,84,62,114438.01,1362.36,nao_eleito
10046,SE,PT,17,14,15405,906.18,1500,8295,0,5610,0,37,35,14292.53,386.28,nao_eleito
10046,RN,PMN,30,29,612700,20423.33,50000,159950,322250,80500,0,215,191,577862.25,2687.73,eleito
10046,ES,PT,12,11,6308.16,525.68,2168.16,3140,1000,0,0,28,26,4684.31,167.3,nao_eleito
10046,RJ,PL,2,2,613.43,306.71,613.43,0,0,0,0,2,2,613.43,306.71,nao_eleito
10047,ES,PT,26,22,91791.43,3530.44,13500,30180,42942,3001.27,2168.16,72,52,74329.94,1032.36,nao_eleito
10048,SE,PT,10,9,4600,460,1500,0,0,3100,0,15,14,4405,293.67,nao_eleito
10048,ES,PT,80,74,435950.46,5449.38,1428.56,70542.5,276979.4,87000,0,274,238,399194.48,1456.91,eleito
10048,AL,PL,7,6,325944.78,46563.54,0,0,318944.78,0,7000,103,99,257394.78,2498.98,nao_eleito
10048,RJ,PL,3,3,1205,401.67,1205,0,0,0,0,3,3,1205,401.67,nao_eleito
10049,ES,PT,7,6,18928.56,2704.08,1428.56,4500,0,13000,0,26,23,18202.52,700.1,nao_eleito
10049,SE,PT,221,215,48998.06,221.71,5200,36297.36,200,7300.7,0,54,53,61050.82,1130.57,eleito
10049,RJ,PL,3,3,723.43,241.14,723.43,0,0,0,0,2,2,613.43,306.71,nao_eleito
10050,ES,PSC,7,4,18500,2642.86,0,8000,0,0,10500,10,8,16484.88,1648.49,nao_eleito
10051,ES,PSC,40,39,232409.62,5810.24,1500,44500,173347.14,13062.48,0,182,135,202592.16,1113.14,eleito
10051,RJ,PL,13,12,43965,3381.92,600,43365,0,0,0,19,18,42999.3,2263.12,nao_eleito
10052,ES,PL,41,39,476291.17,11616.86,6075.85,44315.32,413000,12900,0,467,400,425121.26,910.32,eleito
10053,RJ,PL,4,4,1594.7,398.68,0,1402,0,192.7,0,13,12,1571.39,120.88,nao_eleito
10053,ES,PL,9,9,16026,1780.67,0,16026,0,0,0,17,13,15881.11,934.18,nao_eleito
10053,PE,PAN,1,1,120,120,120,0,0,0,0,1,1,120,120,nao_eleito
10054,RO,PRTB,2,2,520,260,0,0,0,520,0,4,4,515.44,128.86,nao_eleito
10054,CE,PTB,6,5,78968,13161.33,0,0,0,78968,0,72,63,74057.2,1028.57,nao_eleito
10054,ES,PMN,5,5,2964.6,592.92,739.6,245,1980,0,0,5,5,2964.6,592.92,nao_eleito
10055,CE,PTB,20,19,220800,11040,0,75800,135000,0,10000,451,380,205899.68,456.54,eleito
10056,CE,PTN,6,6,2800,466.67,0,330,0,2470,0,7,7,2550,364.29,nao_eleito
10056,PE,PAN,1,1,120,120,120,0,0,0,0,1,1,120,120,nao_eleito
10056,ES,PSB,25,20,101476.6,4059.06,45250,17737,29789.6,8700,0,80,76,95129.35,1189.12,nao_eleito
10057,AL,PP,15,15,560970.7,37398.05,4981,0,549999.7,5990,0,171,169,460391.6,2692.35,eleito
10057,PE,PAN,2,2,170,85,120,0,0,50,0,8,6,154.52,19.32,nao_eleito
10057,ES,PSB,7,7,142256.84,20322.41,0,2805.6,110000,18451.24,11000,224,205,131546.2,587.26,nao_eleito
10057,MA,PSDB,83,83,228700,2755.42,0,109200,31000,83500,5000,167,92,122464.23,733.32,eleito
10058,ES,PSB,13,13,37300.45,2869.27,0,7700,15860.85,3000,10739.6,51,48,36282.16,711.41,nao_eleito
10058,RO,PC do B,1,1,1125,1125,1125,0,0,0,0,1,1,1125,1125,nao_eleito
10058,AL,PTB,2,2,14000,7000,0,0,0,14000,0,29,27,12527.28,431.98,nao_eleito
10058,PE,PAN,4,4,1137,284.25,120,0,0,1017,0,23,18,1117.76,48.6,nao_eleito
10058,MS,PMDB,9,8,52481.78,5831.31,52400,0,0,81.78,0,35,24,51269.51,1464.84,nao_eleito
10059,AL,PTB,5,5,2008.58,401.72,1358.58,0,650,0,0,10,8,1913.86,191.39,nao_eleito
10059,MA,PSDB,1,1,1000,1000,0,0,1000,0,0,1,1,1000,1000,nao_eleito
10059,PE,PAN,1,1,120,120,120,0,0,0,0,1,1,120,120,nao_eleito
